org.apache.http.wire 2018-01-04 21:22:58,490 org.apache.http.impl.conn.Wire.wire(Wire.java:72) http-outgoing-0 << "[\r][\n]" 
org.apache.http.wire 2018-01-04 21:22:58,492 org.apache.http.impl.conn.Wire.wire(Wire.java:86) http-outgoing-0 << "{"sessionId":"48d9de4dfa3f193d5ddfd629ddebeb14","status":0,"value":{"acceptSslCerts":true,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"2.30.477700 (0057494ad8732195794a7b32078424f92a5fce41)","userDataDir":"C:\\Users\\rohit\\AppData\\Local\\Temp\\scoped_dir5348_26568"},"cssSelectorsEnabled":true,"databaseEnabled":false,"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Windows NT","rotatable":false,"takesHeapSnapshot":true,"takesScreenshot":true,"unexpectedAlertBehaviour":"","version":"63.0.3239.84","webStorageEnabled":true}}" 
org.apache.http.headers 2018-01-04 21:22:58,494 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:124) http-outgoing-0 << HTTP/1.1 200 OK 
org.apache.http.headers 2018-01-04 21:22:58,494 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Content-Length:778 
org.apache.http.headers 2018-01-04 21:22:58,494 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Content-Type:application/json; charset=utf-8 
org.apache.http.headers 2018-01-04 21:22:58,494 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onResponseReceived(LoggingManagedHttpClientConnection.java:127) http-outgoing-0 << Connection:close 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:22:58,652 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.close(LoggingManagedHttpClientConnection.java:81) http-outgoing-0: Close connection 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:58,652 org.apache.http.impl.execchain.ConnectionHolder.releaseConnection(ConnectionHolder.java:103) Connection discarded 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:22:58,652 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection(PoolingHttpClientConnectionManager.java:320) Connection released: [id: 0][route: {}->http://localhost:20174][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
org.apache.http.client.protocol.RequestAddCookies 2018-01-04 21:22:58,844 org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122) CookieSpec selected: default 
org.apache.http.client.protocol.RequestAuthCache 2018-01-04 21:22:58,844 org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:76) Auth cache not set in the context 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:22:58,844 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection(PoolingHttpClientConnectionManager.java:249) Connection request: [route: {}->http://localhost:20174][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:22:58,844 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection(PoolingHttpClientConnectionManager.java:282) Connection leased: [id: 1][route: {}->http://localhost:20174][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000] 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:58,859 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:234) Opening connection {}->http://localhost:20174 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:22:58,859 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:131) Connecting to localhost/127.0.0.1:20174 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:22:58,859 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:138) Connection established 127.0.0.1:62010<->127.0.0.1:20174 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:22:58,859 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.setSocketTimeout(LoggingManagedHttpClientConnection.java:90) http-outgoing-1: set socket timeout to 10800000 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:58,859 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:255) Executing request POST /session/48d9de4dfa3f193d5ddfd629ddebeb14/window/current/maximize HTTP/1.1 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:58,859 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:260) Target auth state: UNCHALLENGED 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:22:58,859 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:266) Proxy auth state: UNCHALLENGED 
